,CAPE,CAPE_Tv,CIN,CIN_Tv,Date,Station,Time
0,2.585901888577246,5.971723294790184,-26.826285852256333,-6.523203562575624,1992-01-01,ABQ,0
1,0.0,0.0,0.0,0.0,1992-01-01,ALB,0
2,18.781566201878963,30.590679471722368,-0.9261966323212104,0.0,1992-01-01,AMA,0
3,0.0,0.0,0.0,0.0,1992-01-01,BIS,0
4,0.0,0.0,0.0,0.0,1992-01-01,BNA,0
5,0.0,0.0,0.0,0.0,1992-01-01,BOI,0
6,0.0,0.0,0.0,0.0,1992-01-01,BUF,0
7,0.0,0.0,0.0,0.0,1992-01-01,CAR,0
8,0.0,0.0,0.0,0.0,1992-01-01,CHH,0
9,0.0,0.0,0.0,0.0,1992-01-01,CHS,0
10,0.0,0.0,-2.4158250818926743,0.0,1992-01-01,CRP,0
11,0.0,0.0,0.0,0.0,1992-01-01,DDC,0
12,0.0,0.0,0.0,0.0,1992-01-01,DNR,0
13,0.0,0.0,0.0,0.0,1992-01-01,DRT,0
14,0.0,0.0,0.0,0.0,1992-01-01,GGW,0
15,0.0,0.0,0.0,0.0,1992-01-01,GJT,0
16,0.0,0.0,0.0,0.0,1992-01-01,GRB,0
17,0.0,0.0,0.0,0.0,1992-01-01,GSO,0
18,0.0,0.0,0.0,0.0,1992-01-01,IAD,0
19,0.0,0.0,0.0,0.0,1992-01-01,INL,0
20,0.0,0.0,0.0,0.0,1992-01-01,JAN,0
21,0.0,0.0,0.0,0.0,1992-01-01,LBF,0
22,0.0,0.0,0.0,0.0,1992-01-01,LCH,0
23,0.0,0.0,0.0,0.0,1992-01-01,LIX,0
24,0.0,0.0,0.0,0.0,1992-01-01,LZK,0
25,11.9683419132827,36.77278735228049,-0.0014866902628829014,0.0,1992-01-01,MAF,0
26,0.0,0.0,-75.01581399929822,-61.932933846729775,1992-01-01,MFR,0
27,0.0,0.0,-25.4795168971361,-15.62528813591555,1992-01-01,NKX,0
28,0.0,0.0,0.0,0.0,1992-01-01,OAK,0
29,1.0288321339831976,11.0469632849106,-10.841306359191897,0.0,1992-01-01,OUN,0
30,0.0,0.0,0.0,0.0,1992-01-01,PIT,0
31,0.0,0.0,-144.8129314606047,-134.68435840236273,1992-01-01,RAP,0
32,0.0,0.0,0.0,0.0,1992-01-01,SLC,0
33,0.0,0.0,0.0,0.0,1992-01-01,TBW,0
34,0.0,0.0,0.0,0.0,1992-01-01,TLH,0
35,0.0,0.0,0.0,0.0,1992-01-01,TOP,0
36,0.0,0.0,0.0,0.0,1992-01-01,TUS,0
37,0.0,0.0,0.0,0.0,1992-01-01,UIL,0
38,0.0,0.0,0.0,0.0,1992-01-01,WAL,0
39,0.0,0.0,0.0,0.0,1992-01-01,WMW,0
40,0.0,0.0,0.0,0.0,1992-01-01,WPL,0
41,0.0,0.0,0.0,0.0,1992-01-01,YMO,0
42,0.0,0.0,0.0,0.0,1992-01-01,YQI,0
43,0.0,0.0,0.0,0.0,1992-01-01,ABQ,12
44,0.0,0.0,0.0,0.0,1992-01-01,ALB,12
45,0.0,0.0,-1901.4034263455032,-1824.5847356751503,1992-01-01,AMA,12
46,1.9944446037453056,3.937015916187419,0.0,0.0,1992-01-01,BIS,12
47,0.0,0.0,0.0,0.0,1992-01-01,BNA,12
48,0.0,0.0,-4.01802316481846,-0.4790131031564371,1992-01-01,BOI,12
49,0.0,0.0,-0.018595106814922577,0.0,1992-01-01,BRO,12
50,0.0,0.0,0.0,0.0,1992-01-01,BUF,12
51,0.0,0.0,0.0,0.0,1992-01-01,CAR,12
52,0.0,0.0,0.0,0.0,1992-01-01,CHH,12
53,0.0,0.0,-2.8895548591925717,-0.017642819789543473,1992-01-01,CHS,12
54,0.0,0.0,0.0,0.0,1992-01-01,CRP,12
55,0.0,0.0,0.0,0.0,1992-01-01,DDC,12
56,0.0,0.0,0.0,0.0,1992-01-01,DNR,12
57,0.0,0.0,0.0,0.0,1992-01-01,DRT,12
58,0.0,0.0,0.0,0.0,1992-01-01,GGW,12
59,0.04381251911856451,0.0,-0.19985997617569343,0.0,1992-01-01,GJT,12
60,0.0,0.0,0.0,0.0,1992-01-01,GRB,12
